DEP;DIR;CODECOM;CODEVOIE;LIBVOIE;TYPEVOIE;CODE_MAJIC;LIBCOM;CODE_POSTAL;DATE_CREATION
36;0;001;0003;RTE D'AIGURANDE;1;;AIGURANDE;36140;19950627
36;0;001;0004;RUE DES ABATTOIRS;1;;AIGURANDE;36140;19870101
36;0;001;0005;RUE DU BERRY;1;;AIGURANDE;36140;19870101
36;0;001;0010;RTE DE BONNAT;1;;AIGURANDE;36140;19870101
36;0;001;0015;RUE CASSE-COU;1;;AIGURANDE;36140;19870101
36;0;001;0020;PL  DU CHP DE FOIRE;1;;AIGURANDE;36140;19870101
36;0;001;0022;CHE DU CINEMA;1;;AIGURANDE;36140;20020129
36;0;001;0025;RTE DE CLUIS;1;;AIGURANDE;36140;19870101
36;0;001;0026;RTE DE LA COUTURE;1;;AIGURANDE;36140;20001226
36;0;001;0030;RTE DE DUN;1;;AIGURANDE;36140;19870101
36;0;001;0034;PL  DE L EGLISE;1;;AIGURANDE;36140;19870101
36;0;001;0035;RUE DE L EGLISE;1;;AIGURANDE;36140;19870101
36;0;001;0040;RUE DE L'ETANG;1;;AIGURANDE;36140;19870101
36;0;001;0041;AV  DE L EUROPE;1;;AIGURANDE;36140;19981023
36;0;001;0045;RUE DES FOSSES ST-JEAN;1;;AIGURANDE;36140;19870101
36;0;001;0050;AV  DE LA GARE;1;;AIGURANDE;36140;19870101
36;0;001;0051;CHE DE LA GARE;1;;AIGURANDE;36140;19870101
36;0;001;0053;PL  DE LA GARE;1;;AIGURANDE;36140;19870101
36;0;001;0054;RTE DU GAT;1;;AIGURANDE;36140;19870101
36;0;001;0055;AV  GEORGE SAND;1;;AIGURANDE;36140;19870101
36;0;001;0060;RUE GRANDE;1;;AIGURANDE;36140;19870101
36;0;001;0061;GPL GRAND PLACE;1;;AIGURANDE;36140;19880301
36;0;001;0062;RUE DE LA GRANGETTE;1;;AIGURANDE;36140;19870101
36;0;001;0063;RUE JEAN MARIEN MESSANT;1;;AIGURANDE;36140;20070227
36;0;001;0064;RUE DU HUIT MAI;1;;AIGURANDE;36140;19870101
36;0;001;0065;RTE DE LA CHATRE;1;;AIGURANDE;36140;19870101
36;0;001;0070;RUE DE LA MARCHE;1;;AIGURANDE;36140;19870101
36;0;001;0075;PL  DU MARCHE;1;;AIGURANDE;36140;19870101
36;0;001;0080;RUE MAURICE FONTAINE;1;;AIGURANDE;36140;19870101
36;0;001;0081;ALL DES BRAUDES;1;;AIGURANDE;36140;20001226
36;0;001;0082;RTE DE MEASNES;1;;AIGURANDE;36140;19870101
36;0;001;0083;LOT DES MERLOTS;1;;AIGURANDE;36140;19870101
36;0;001;0084;PL  DE LA POSTE;1;;AIGURANDE;36140;19870101
36;0;001;0085;PL  DE LA PROMENADE;1;;AIGURANDE;36140;19870101
36;0;001;0086;RTE DU MERLOT;1;;AIGURANDE;36140;19901030
36;0;001;0088;RTE DE MORTROUX;1;;AIGURANDE;36140;20010626
36;0;001;0089;ALL DE LA MOTHE AUX VENTS;1;;AIGURANDE;36140;20030325
36;0;001;0090;AV  DE LA REPUBLIQUE;1;;AIGURANDE;36140;19870101
36;0;001;0095;AV  ROLLINAT;1;;AIGURANDE;36140;19870101
