DEP;DIR;CODECOM;CODEVOIE;LIBVOIE;TYPEVOIE;CODE_MAJIC;LIBCOM;CODE_POSTAL;DATE_CREATION
79;0;001;0010;RUE ANDRE JABOUILLE;1;;L ABSIE;79240;19870101
79;0;001;0018;RUE ARTHUR FONTENEAU;1;;L ABSIE;79240;19870428
79;0;001;0025;RUE DE L AUDONNERIE;1;;L ABSIE;79240;19870101
79;0;001;0065;CHE DE LA BARAUDIERE;1;;L ABSIE;79240;20090925
79;0;001;0070;RUE DE BEAU SOLEIL;1;;L ABSIE;79240;19870101
79;0;001;0080;RUE DE LA BERGERIE;1;;L ABSIE;79240;19870101
79;0;001;0090;RTE DU BEUGNON;1;;L ABSIE;79240;19870101
79;0;001;0100;RUE DU CALVAIRE;1;;L ABSIE;79240;19870101
79;0;001;0120;RTE DE LA CHAPELLE SEGUIN;1;;L ABSIE;79240;19870101
79;0;001;0140;RUE DU COLLEGE;1;;L ABSIE;79240;19870101
79;0;001;0160;RUE DE LA DANDINERIE;1;;L ABSIE;79240;19870101
79;0;001;0170;RUE DES ECOLIERS;1;;L ABSIE;79240;19870101
79;0;001;0180;ALL DE L EGLISE;1;;L ABSIE;79240;19870101
79;0;001;0200;PL  DE L EGLISE;1;;L ABSIE;79240;19870101
79;0;001;0210;RUE DES FLEURS;1;;L ABSIE;79240;19870101
79;0;001;0215;RUE DE LA FORET;1;;L ABSIE;79240;19870101
79;0;001;0220;RUE DE LA FOYE;1;;L ABSIE;79240;19870101
79;0;001;0225;RUE FERNAND GOUGEARD;1;;L ABSIE;79240;20160829
79;0;001;0230;CHE DU GRAND FREIGNE;1;;L ABSIE;79240;20090925
79;0;001;0234;IMP DE LA GRANGE;1;;L ABSIE;79240;20171221
79;0;001;0242;RUE DES HAUTS DE GATINE;1;;L ABSIE;79240;20060928
79;0;001;0245;RUE DE LA JOLINIERE;1;;L ABSIE;79240;19870101
79;0;001;0260;RUE DE LA MORINIERE;1;;L ABSIE;79240;19870101
79;0;001;0290;RTE DE PARTHENAY;1;;L ABSIE;79240;19870101
79;0;001;0300;RUE DE PLAISANCE;1;;L ABSIE;79240;19870101
79;0;001;0310;RUE DE LA PROMENADE;1;;L ABSIE;79240;19870101
79;0;001;0319;IMP DE LA POSTE;1;;L ABSIE;79240;20101223
79;0;001;0320;RUE DE LA POSTE;1;;L ABSIE;79240;19870101
79;0;001;0324;PL  DU 14 JUILLET 1836;1;;L ABSIE;79240;20060928
79;0;001;0330;RUE RAYMOND MIGAUD;1;;L ABSIE;79240;19870101
79;0;001;0340;RUE DE LA REPUBLIQUE;1;;L ABSIE;79240;19870101
79;0;001;0360;RUE DE SAINT PAUL;1;;L ABSIE;79240;19870101
79;0;001;0370;RUE DE LA SAUZAIE;1;;L ABSIE;79240;19870101
79;0;001;0375;RUE DE LA SEVRE;1;;L ABSIE;79240;20190424
79;0;001;0380;RUE DU SOUVENIR;1;;L ABSIE;79240;19870101
79;0;001;0385;RUE DE LA TAILLEE;1;;L ABSIE;79240;19870101
79;0;001;0390;RUE DE LA VENDEE;1;;L ABSIE;79240;20200624
79;0;001;B001;LA BARRE;3;;L ABSIE;79240;19870101
79;0;001;B002;LA BAUDONNIERE;3;;L ABSIE;79240;19870101
79;0;001;B003;BEAU SOLEIL;3;;L ABSIE;79240;19870101
79;0;001;B004;BEL AIR;3;;L ABSIE;79240;19870101
79;0;001;B005;LA BERGERIE;3;;L ABSIE;79240;19870101
79;0;001;B006;LE BOIS;3;;L ABSIE;79240;19870101
79;0;001;B007;BOIS BRECHAUD;3;;L ABSIE;79240;19910714
79;0;001;B008;LE BOIS GIRAUD;3;;L ABSIE;79240;19910714
79;0;001;B009;LE BOIS NORD;3;;L ABSIE;79240;19910714
79;0;001;B010;LA BOURDANDELIERE;3;;L ABSIE;79240;19870101
79;0;001;B011;LA BOURDETTRIE;3;;L ABSIE;79240;19910714
79;0;001;B012;LE BOURG NORD;3;;L ABSIE;79240;19910714
79;0;001;B013;LE BOURG OUEST;3;;L ABSIE;79240;19870101
79;0;001;B014;LE BOURG SUD;3;;L ABSIE;79240;19910714
79;0;001;B015;CHANTOISEAU;3;;L ABSIE;79240;19870101
79;0;001;B016;CHANTOISEAU NORD;3;;L ABSIE;79240;19910714
79;0;001;B017;LA CHAPELLE SEGUIN;3;;L ABSIE;79240;19870101
79;0;001;B018;LA CHENAIE;3;;L ABSIE;79240;19870101
79;0;001;B019;LA COTTE;3;;L ABSIE;79240;19910714
79;0;001;B020;LA COURTE MONNAIE;3;;L ABSIE;79240;19870101
79;0;001;B021;L ECLUSE;3;;L ABSIE;79240;19910714
79;0;001;B022;L ETORIERE;3;;L ABSIE;79240;19870101
79;0;001;B023;LA FOYE;3;;L ABSIE;79240;19870101
79;0;001;B024;LE GRAND FREIGNER;3;;L ABSIE;79240;19870101
79;0;001;B025;LE GRAND QUART;3;;L ABSIE;79240;19910714
79;0;001;B026;LA GRANGE;3;;L ABSIE;79240;19870101
79;0;001;B027;LA GRANGE SUD;3;;L ABSIE;79240;19910714
79;0;001;B028;LE GRENOUILLER;3;;L ABSIE;79240;19910714
79;0;001;B029;LE JEUDI SAINT;3;;L ABSIE;79240;19910714
79;0;001;B030;LES JINCHERES;3;;L ABSIE;79240;19910714
79;0;001;B031;LA JOLINIERE;3;;L ABSIE;79240;19870101
