DEP;DIR;CODECOM;CODEVOIE;LIBVOIE;TYPEVOIE;CODE_MAJIC;LIBCOM;CODE_POSTAL;DATE_CREATION
23;0;001;0005;PL  ALBERT GIRAUD;1;;AHUN;23150;19951005
23;0;001;0007;RTE D'AYEN;1;;AHUN;23150;19911031
23;0;001;0020;RTE D AUBUSSON;1;;AHUN;23150;19870101
23;0;001;0040;RTE DE BOURGANEUF;1;;AHUN;23150;19870101
23;0;001;0060;RUE DES BRIDES;1;;AHUN;23150;19870101
23;0;001;0080;PL  DU CHAMP DE FOIRE;1;;AHUN;23150;19870101
23;0;001;0100;PL  DU DOCTEUR COUDERC;1;;AHUN;23150;19870101
23;0;001;0120;PL  DE L EGLISE;1;;AHUN;23150;19870101
23;0;001;0140;RUE FIACRE;1;;AHUN;23150;19870101
23;0;001;0160;CHAMP DE FOIRE;1;;AHUN;23150;19870101
23;0;001;0170;PL  DE FUMADE;1;;AHUN;23150;19940725
23;0;001;0180;RTE DE GUERET;1;;AHUN;23150;19870101
23;0;001;0185;PL  JACQUES LAGRANGE;1;;AHUN;23150;19970526
23;0;001;0187;FG  LASFONT;1;;AHUN;23150;19911031
23;0;001;0195;PL  DE LA LIBERTE;1;;AHUN;23150;19870101
23;0;001;0200;RTE DE LIMOGES;1;;AHUN;23150;19870101
23;0;001;0220;PL  DE LA MAIRIE;1;;AHUN;23150;19870101
23;0;001;0260;RUE DES MARRONNIERS;1;;AHUN;23150;19870101
23;0;001;0270;RUE DU DOCTEUR MAUMY;1;;AHUN;23150;19951005
23;0;001;0280;RTE DE MOLLES;1;;AHUN;23150;19870101
23;0;001;0300;PL  DU MONUMENT;1;;AHUN;23150;19870101
23;0;001;0317;RTE DE BUSSEAU VILLAGE;1;;AHUN;23150;20240810
23;0;001;0320;RTE DU MOUTIER;1;;AHUN;23150;19870101
23;0;001;0328;RUE MARCEL ARNAUD;1;;AHUN;23150;19960424
23;0;001;0329;PL  MARCEL ARNAUD;1;;AHUN;23150;19960424
23;0;001;0340;RUE DES PENITENTS;1;;AHUN;23150;19870101
23;0;001;0348;RTE DE PIERREFITE;1;;AHUN;23150;19911031
23;0;001;0350;PL  PO;1;;AHUN;23150;19951005
23;0;001;0353;RUE DE LA CLE DES CHAMPS;1;;AHUN;23150;20240810
23;0;001;0354;IMP DES LAVANDIERES;1;;AHUN;23150;20240810
23;0;001;0355;RUE DU LAVOIR;1;;AHUN;23150;20240810
23;0;001;0356;IMP DES CHEMINOTS;1;;AHUN;23150;20240810
23;0;001;0357;IMP DES VOYAGEURS;1;;AHUN;23150;20240810
23;0;001;0358;IMP DES ANCIENNES ECOLES;1;;AHUN;23150;20240810
23;0;001;0359;PL  DE LA GARE;1;;AHUN;23150;20240810
23;0;001;0360;RUE DE LA PORTE POUZAMI;1;;AHUN;23150;19870101
23;0;001;0361;IMP DE LA CHAPELLE;1;;AHUN;23150;20240810
23;0;001;0362;RUE DE BELLEVUE;1;;AHUN;23150;20240810
23;0;001;0363;RUE DE LA BOUCHERIE;1;;AHUN;23150;20240810
23;0;001;0364;IMP DU RUISSEAU;1;;AHUN;23150;20240810
23;0;001;0370;IMP DE LA BREDITTE;1;;AHUN;23150;20240810
23;0;001;0371;RUE DES ECOLIERS;1;;AHUN;23150;20240810
23;0;001;0372;IMP DE LA CHARRIERE;1;;AHUN;23150;20240810
23;0;001;0373;IMP DU ROCHER;1;;AHUN;23150;20240810
23;0;001;0374;IMP DES PETITS SOULIERS;1;;AHUN;23150;20240810
23;0;001;0375;RUE DES TAILLEURS DE PIERR;1;;AHUN;23150;20240810
23;0;001;0376;RUE DESCENDANTE;1;;AHUN;23150;20240810
23;0;001;0380;RUE POUZAMI;1;;AHUN;23150;19870101
23;0;001;0400;GR  GRANDE RUE;1;;AHUN;23150;19870101
23;0;001;0405;RUE RENE CASSIN;1;;AHUN;23150;20020723
23;0;001;0410;RUE SAINT JEANNE;1;;AHUN;23150;19951005
23;0;001;0420;RUE SAINT MICHEL;1;;AHUN;23150;19870101
23;0;001;0440;RUE SAINT SILVAIN;1;;AHUN;23150;19870101
23;0;001;0445;RTE DE BUSSEAU GARE;1;;AHUN;23150;20240710
23;0;001;0446;RUE DES HIRONDELLES;1;;AHUN;23150;20240810
23;0;001;0447;FG  DU VIADUC;1;;AHUN;23150;20240710
23;0;001;0460;RUE TRAVERSIERE;1;;AHUN;23150;19870101
23;0;001;0469;RUE DES ECUREUILS;1;;AHUN;23150;20240810
23;0;001;0470;IMP DES REINETTES;1;;AHUN;23150;20240810
23;0;001;0471;RUE DES MESANGES;1;;AHUN;23150;20240810
23;0;001;0472;RUE DES FLEURS;1;;AHUN;23150;20240810
23;0;001;0473;RUE DE LA FONTAINE;1;;AHUN;23150;20240810
23;0;001;0474;RTE DU BARRAGE;1;;AHUN;23150;20240810
23;0;001;0475;RUE DE L ETANG;1;;AHUN;23150;20240810
23;0;001;0476;IMP DU PETIT BOIS;1;;AHUN;23150;20240810
23;0;001;0480;VTE VIEILLE ROUTE DU MOUTI;1;;AHUN;23150;19870101
23;0;001;0481;RTE D ANTARIAUX;1;;AHUN;23150;19870101
23;0;001;0482;RUE DU CHERCHE NID;1;;AHUN;23150;19870101
23;0;001;0500;BD  DE LA VILLE;1;;AHUN;23150;19870101
23;0;001;0501;CHEMDES GARDES;1;;AHUN;23150;19980526
23;0;001;0502;CHEMDU PRADEAU;1;;AHUN;23150;19980526
23;0;001;0503;CHEMRURAL DU CEYDOUX;1;;AHUN;23150;19980526
23;0;001;0504;CHE DU BON SAINT JEAN;1;;AHUN;23150;20181218
23;0;001;A005;LOT MARCEL ARNAUD;2;;AHUN;23150;19870101
23;0;001;A006;LOT DU BON SAINT JEAN;2;;AHUN;23150;19911031
23;0;001;B001;LES AILLANDS;3;;AHUN;23150;19910714
23;0;001;B002;L AUBELY;3;;AHUN;23150;19910714
23;0;001;B003;L AUCHE;3;;AHUN;23150;19910714
23;0;001;B004;AURIOLLE;3;;AHUN;23150;19870101
23;0;001;B005;BEAUREGARD;3;;AHUN;23150;19870101
23;0;001;B006;BELLEVUE;3;;AHUN;23150;19870101
23;0;001;B007;DES BESSADES;3;;AHUN;23150;19910714
23;0;001;B008;LES BETBULLES;3;;AHUN;23150;19910714
23;0;001;B009;LES BETOUX;3;;AHUN;23150;19910714
23;0;001;B010;LE BOIGEAS;3;;AHUN;23150;19881212
23;0;001;B011;LE BOIJOUX;3;;AHUN;23150;19910714
23;0;001;B012;BOIS D AYEN;3;;AHUN;23150;19910714
23;0;001;B015;BOIS DU CLOUD;3;;AHUN;23150;19910714
23;0;001;B016;BOIS ROUEIX;3;;AHUN;23150;19910714
23;0;001;B018;DU BON SAINT JEAN;3;;AHUN;23150;19870101
23;0;001;B019;LE BON SAINT JEAN;3;;AHUN;23150;19870101
23;0;001;B021;LES BOUQUETS;3;;AHUN;23150;19910714
23;0;001;B024;LA BREDITTE;3;;AHUN;23150;19910714
23;0;001;B025;LES BREGEAUX;3;;AHUN;23150;19870101
23;0;001;B026;LA BUIGE;3;;AHUN;23150;19910714
23;0;001;B027;BUIGE DU BOIS;3;;AHUN;23150;19910714
